path	line	family	site_kind	disposition
crates/cdf-source-iceberg/src/catalog/mod.rs	813	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	815	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	845	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	850	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	857	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	877	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	896	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	910	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	933	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	949	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	952	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	958	shared-catalog	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	1025	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/mod.rs	1040	shared-catalog	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	34	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	60	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	68	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	69	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	86	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	88	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	89	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	92	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	137	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	182	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	184	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	185	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	201	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	203	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	204	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	222	rest-protocol	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	230	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	246	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	255	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	258	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	259	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/rest.rs	262	rest-protocol	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	52	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	79	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	84	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	174	glue-provider	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	175	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	197	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	210	glue-provider	mapping	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	213	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	215	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	218	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	228	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	273	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	276	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	278	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	283	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	286	glue-provider	constructor	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	308	glue-provider	error-kind-reference	preserved-through-module-move
crates/cdf-source-iceberg/src/catalog/glue.rs	312	glue-provider	error-kind-reference	preserved-through-module-move
